id,inhabitants,inhabitants_with_migration_background,inhabitants_germans,inhabitants_germans_without_migration_background,inhabitants_germans_with_migration_background,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_percentage,inhabitants_germans_percentage,inhabitants_germans_without_migration_background_percentage,inhabitants_germans_with_migration_background_percentage,inhabitants_foreigners_percentage
011001,16264,10724.0,9539.0,5540.0,3999.0,6725.0,100.0,65.93703885882931,58.65100836202656,34.06296114117068,24.588047220855877,41.348991637973434
011002,13699,8245.0,8312.0,5454.0,2858.0,5387.0,100.0,60.186874954376236,60.67596174903278,39.81312504562377,20.86283670340901,39.32403825096723
011003,62365,32468.0,41149.0,29897.0,11252.0,21216.0,100.0,52.06125230497876,65.98091878457468,47.93874769502124,18.042171089553435,34.01908121542532
011004,32642,15801.0,22159.0,16841.0,5318.0,10483.0,100.0,48.40696035782121,67.88493352123032,51.59303964217878,16.29189387905153,32.115066478769684
012005,46769,25687.0,30251.0,21082.0,9169.0,16518.0,100.0,54.92313284440549,64.68173362697513,45.07686715559452,19.604866471380618,35.31826637302486
012006,43745,25638.0,28108.0,18107.0,10001.0,15637.0,100.0,58.60784089610242,64.25420048005486,41.39215910389758,22.862041376157276,35.74579951994514
013007,38737,25720.0,22423.0,13017.0,9406.0,16314.0,100.0,66.3964684926556,57.885226011307026,33.6035315073444,24.28169450396262,42.11477398869298
013008,40142,26945.0,25717.0,13197.0,12520.0,14425.0,100.0,67.12420905784465,64.06506900503214,32.87579094215535,31.189278062876785,35.934930994967864
014009,46543,25338.0,30898.0,21205.0,9693.0,15645.0,100.0,54.43998023333262,66.38592269514213,45.56001976666738,20.825902928474743,33.61407730485787
014010,56496,37707.0,31836.0,18789.0,13047.0,24660.0,100.0,66.74277824978759,56.35089209855565,33.25722175021241,23.093670348343245,43.64910790144435
021001,40958,29320.0,25533.0,11638.0,13895.0,15425.0,100.0,71.58552663704283,62.33946970066898,28.414473362957178,33.924996337711804,37.66053029933102
022002,64163,29785.0,46888.0,34378.0,12510.0,17275.0,100.0,46.42083443729252,73.07638358555553,53.57916556270747,19.49721802284806,26.923616414444464
023003,19401,11222.0,12913.0,8179.0,4734.0,6488.0,100.0,57.84237925880109,66.5584248234627,42.15762074119891,24.4008040822638,33.44157517653729
023004,26202,13999.0,17517.0,12203.0,5314.0,8685.0,100.0,53.42721929623693,66.85367529196245,46.57278070376307,20.280894588199374,33.146324708037554
024005,26181,10779.0,19613.0,15402.0,4211.0,6568.0,100.0,41.17107826286238,74.91310492341775,58.82892173713762,16.084183186280125,25.086895076582255
024006,27524,13981.0,18032.0,13543.0,4489.0,9492.0,100.0,50.79566923412294,65.51373346897253,49.20433076587705,16.30940270309548,34.48626653102747
025007,31126,12592.0,22827.0,18534.0,4293.0,8299.0,100.0,40.4549251429673,73.33740281436741,59.54507485703271,13.792327957334704,26.662597185632592
025008,56916,24801.0,39928.0,32115.0,7813.0,16988.0,100.0,43.57474172464685,70.1525054466231,56.42525827535315,13.72724717126994,29.847494553376908
031001,17772,5155.0,13966.0,12617.0,1349.0,3806.0,100.0,29.006302048165654,78.58428989421562,70.99369795183435,7.590591942381273,21.41571010578438
032002,30036,7259.0,25470.0,22777.0,2693.0,4566.0,100.0,24.16766546810494,84.79824210946863,75.83233453189506,8.965907577573578,15.201757890531361
032003,18842,3814.0,16964.0,15028.0,1936.0,1878.0,100.0,20.24201252520964,90.03290521176096,79.75798747479035,10.274917736970597,9.967094788239041
033004,20239,4416.0,17678.0,15823.0,1855.0,2561.0,100.0,21.819259844853995,87.34621275754732,78.180740155146,9.165472602401305,12.65378724245269
033005,18026,4470.0,15009.0,13556.0,1453.0,3017.0,100.0,24.797514700987463,83.26306446244314,75.20248529901254,8.060579163430601,16.736935537556864
034006,18962,4709.0,16679.0,14253.0,2426.0,2283.0,100.0,24.833878282881553,87.96013078789157,75.16612171711844,12.794009070773123,12.039869212108426
034007,39467,9621.0,34104.0,29846.0,4258.0,5363.0,100.0,24.37732789419008,86.41143233587553,75.62267210580991,10.788760230065625,13.58856766412446
034008,37221,10205.0,30534.0,27016.0,3518.0,6687.0,100.0,27.417318180596972,82.03433545579108,72.58268181940302,9.45165363638806,17.965664544208913
035009,41782,12870.0,33069.0,28912.0,4157.0,8713.0,100.0,30.802738021157438,79.14652242592504,69.19726197884256,9.949260447082475,20.85347757407496
035010,16058,3967.0,13338.0,12091.0,1247.0,2720.0,100.0,24.704197284842447,83.06140241624112,75.29580271515755,7.7655997010835724,16.938597583758874
036011,28003,11220.0,20534.0,16783.0,3751.0,7469.0,100.0,40.067135664035995,73.32785772952897,59.93286433596401,13.394993393564974,26.67214227047102
036012,28069,9618.0,21904.0,18451.0,3453.0,6165.0,100.0,34.26555987031957,78.03626776871282,65.73444012968042,12.301827639032384,21.963732231287185
036013,22801,8485.0,17395.0,14316.0,3079.0,5406.0,100.0,37.21328011929301,76.29051357396605,62.78671988070699,13.503793693259066,23.709486426033948
036014,29949,11789.0,21562.0,18160.0,3402.0,8387.0,100.0,39.363584760759956,71.99572606764833,60.63641523924004,11.359310828408294,28.004273932351666
037015,27340,11234.0,20095.0,16106.0,3989.0,7245.0,100.0,41.089978054133134,73.5003657644477,58.910021945866866,14.590343818580834,26.499634235552307
037016,33606,12170.0,26019.0,21436.0,4583.0,7587.0,100.0,36.2137713503541,77.42367434386716,63.78622864964589,13.63744569422127,22.576325656132834
