id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_age_below_6_percentage,inhabitants_with_migration_background_age_6_15_percentage,inhabitants_with_migration_background_age_15_18_percentage,inhabitants_with_migration_background_age_18_27_percentage,inhabitants_with_migration_background_age_27_45_percentage,inhabitants_with_migration_background_age_45_55_percentage,inhabitants_with_migration_background_age_55_65_percentage,inhabitants_with_migration_background_age_above_65_percentage,inhabitants_with_migration_background_female_percentage,inhabitants_foreigners_percentage
01,173809,15165,19040,5869,26746,62675,21771,12487,10056,82421,109238,100.0,8.725094787956895,10.954553561668268,3.37669510784827,15.388155964305646,36.059697714157494,12.525818570960077,7.184323021247462,5.785661271855888,47.42044428079099,62.849449683273015
02,108179,8577,11059,3501,15977,43396,12808,6738,6123,52394,66412,100.0,7.928525869161297,10.222871352110854,3.2363027944425444,14.769040201887613,40.1149945922961,11.839636158589006,6.228565618095933,5.660063413416652,48.4326902633598,61.39084295473244
03,62250,7001,6811,1499,8223,27542,6604,2926,1644,30734,38813,100.0,11.246586345381527,10.94136546184739,2.4080321285140562,13.209638554216868,44.24417670682731,10.608835341365461,4.700401606425703,2.6409638554216865,49.3718875502008,62.35020080321285
04,122052,8889,11720,3522,13665,39864,18316,13801,12275,61094,72938,100.0,7.282961360731491,9.60246452331793,2.8856552944646547,11.196047586274704,32.661488545865694,15.006718447874675,11.307475502244944,10.057188739225904,50.05571395798513,59.75977452233474
05,69701,6843,9401,2920,8231,20405,9640,7049,5212,34518,33423,100.0,9.817649675040531,13.487611368559993,4.189322965237228,11.809012783173843,29.27504626906357,13.83050458386537,10.113197802040142,7.477654553019325,49.52296236782829,47.951966255864335
06,69495,5896,8663,2697,7803,19981,10297,7723,6435,35777,35820,100.0,8.484063601697963,12.465645010432405,3.8808547377509175,11.228145909777682,28.75170875602561,14.816893301676378,11.11302971436794,9.259658968271099,51.48140153967912,51.543276494711854
07,110800,9418,12753,4121,13156,34996,15924,11216,9216,54804,58169,100.0,8.5,11.509927797833935,3.7193140794223827,11.873646209386282,31.584837545126355,14.371841155234657,10.12274368231047,8.31768953068592,49.462093862815884,52.499097472924184
08,138686,13082,17036,5408,18159,47406,17754,11137,8704,67234,77466,100.0,9.43281946267107,12.283864268924043,3.8994563258007298,13.093607141312027,34.18225343581904,12.801580548865783,8.03037076561441,6.27604805099289,48.479298559335476,55.857116075162594
09,24762,2747,3137,821,3598,8734,3061,1669,995,11915,14143,100.0,11.093611178418545,12.668605120749534,3.315564170907035,14.530328729504888,35.271787416202244,12.361683224295291,6.740166383975446,4.018253775947016,48.11808416121476,57.1157418625313
10,35811,4139,4976,1231,4712,10965,4264,3503,2021,18005,15894,100.0,11.557901203540812,13.89517187456368,3.437491273631007,13.157968222054675,30.619083521822905,11.906955963251514,9.781910586132753,5.643517355002653,50.27784758872972,44.38301080673536
11,50314,5490,5990,1570,8538,17247,5718,3929,1832,23997,29843,100.0,10.911475931152363,11.905235123424891,3.1204038637357394,16.969431967245697,34.2787295782486,11.364630122828636,7.808959732877529,3.641133680486545,47.69447867392773,59.31351114997814
12,70921,7440,10231,3137,8208,20948,9663,6623,4671,34997,35768,100.0,10.49054581858688,14.42591052015623,4.423231482917613,11.573440870828104,29.53709056555886,13.625019387769491,9.338559805981303,6.586201548201521,49.34645591573723,50.433581026776274
