id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined,inhabitants_percentage,inhabitants_from_european_union_percentage,inhabitants_from_france_percentage,inhabitants_from_greece_percentage,inhabitants_from_italy_percentage,inhabitants_from_austria_percentage,inhabitants_from_spain_percentage,inhabitants_from_poland_percentage,inhabitants_from_bulgaria_percentage,inhabitants_from_rumania_percentage,inhabitants_from_croatia_percentage,inhabitants_from_united_kingdom_percentage,inhabitants_from_former_yugoslavia_percentage,inhabitants_from_bosnia_herzegovina_percentage,inhabitants_from_serbia_percentage,inhabitants_from_former_soviet_union_percentage,inhabitants_from_russia_percentage,inhabitants_from_ukraine_percentage,inhabitants_from_kazakhstan_percentage,inhabitants_from_islamic_countries_percentage,inhabitants_from_turkey_percentage,inhabitants_from_iran_percentage,inhabitants_from_arabic_countries_percentage,inhabitants_from_lebanon_percentage,inhabitants_from_syria_percentage,inhabitants_from_vietnam_percentage,inhabitants_from_united_states_percentage,inhabitants_from_undefined_percentage
01011101,1955,569,54,62,66,16,84,27,93,32,19,16,76,14,22,314,108,78,27,467,84,39,267,9,63,15,47,56,100.0,29.104859335038363,2.762148337595908,3.1713554987212276,3.375959079283888,0.8184143222506393,4.296675191815857,1.381074168797954,4.757033248081841,1.6368286445012785,0.9718670076726342,0.8184143222506393,3.887468030690537,0.7161125319693095,1.1253196930946292,16.0613810741688,5.524296675191816,3.989769820971867,1.381074168797954,23.88746803069054,4.296675191815857,1.9948849104859334,13.657289002557546,0.46035805626598464,3.2225063938618925,0.7672634271099744,2.4040920716112533,2.864450127877238
01011102,71,37,3,3,3,4,4,3,11,0,3,0,3,0,3,6,3,0,0,4,0,0,4,0,4,0,9,0,100.0,52.112676056338024,4.225352112676056,4.225352112676056,4.225352112676056,5.633802816901409,5.633802816901409,4.225352112676056,15.492957746478872,0.0,4.225352112676056,0.0,4.225352112676056,0.0,4.225352112676056,8.450704225352112,4.225352112676056,0.0,0.0,5.633802816901409,0.0,0.0,5.633802816901409,0.0,5.633802816901409,0.0,12.676056338028168,0.0
01011103,2901,958,159,33,87,16,45,31,203,82,125,35,160,16,75,421,165,96,39,930,331,76,367,34,99,42,53,106,100.0,33.02309548431575,5.4808686659772485,1.1375387797311272,2.998965873836608,0.5515339538090314,1.5511892450879008,1.0685970355049983,6.997587038952085,2.8266115132712857,4.308859014133057,1.206480523957256,5.515339538090314,0.5515339538090314,2.5853154084798344,14.512237159600138,5.687693898655636,3.3092037228541886,1.344364012409514,32.057911065149945,11.409858669424336,2.619786280592899,12.650810065494658,1.1720096518441918,3.4126163391933813,1.4477766287487073,1.8269562219924165,3.653912443984833
01011104,3124,728,116,36,74,28,49,34,123,51,30,23,127,60,15,257,105,62,7,1388,437,61,702,230,102,28,60,160,100.0,23.30345710627401,3.713188220230474,1.1523687580025608,2.3687580025608197,0.8962868117797695,1.5685019206145967,1.088348271446863,3.9372599231754157,1.6325224071702944,0.9603072983354672,0.736235595390525,4.065300896286812,1.9206145966709345,0.4801536491677336,8.22663252240717,3.3610755441741356,1.9846350832266324,0.22407170294494239,44.43021766965429,13.988476312419976,1.9526248399487836,22.471190781049934,7.36235595390525,3.265044814340589,0.8962868117797695,1.9206145966709345,5.121638924455826
01011105,829,219,15,12,33,18,21,9,43,4,9,3,14,0,7,231,125,28,12,285,33,12,180,12,9,0,43,16,100.0,26.417370325693607,1.8094089264173705,1.4475271411338964,3.9806996381182147,2.1712907117008444,2.5331724969843186,1.0856453558504222,5.1869722557297955,0.48250904704463204,1.0856453558504222,0.3618817852834741,1.6887816646562124,0.0,0.8443908323281062,27.864897466827504,15.078407720144751,3.3775633293124248,1.4475271411338964,34.37876960193004,3.9806996381182147,1.4475271411338964,21.71290711700844,1.4475271411338964,1.0856453558504222,0.0,5.1869722557297955,1.9300361881785282
01011201,1413,407,26,12,30,15,33,16,32,104,53,6,41,6,18,325,147,89,22,307,48,21,197,22,9,44,41,42,100.0,28.803963198867656,1.840056617126681,0.8492569002123143,2.1231422505307855,1.0615711252653928,2.335456475583864,1.132342533616419,2.264685067232838,7.360226468506724,3.750884642604388,0.42462845010615713,2.9016277423920736,0.42462845010615713,1.2738853503184715,23.00070771408351,10.40339702760085,6.29865534324133,1.556970983722576,21.726822363765038,3.397027600849257,1.48619957537155,13.941967445152159,1.556970983722576,0.6369426751592357,3.113941967445152,2.9016277423920736,2.9723991507431
01011202,306,138,16,3,15,18,15,9,10,0,16,0,6,3,3,50,27,8,0,29,12,0,8,0,0,0,19,0,100.0,45.09803921568628,5.228758169934641,0.9803921568627451,4.901960784313726,5.88235294117647,4.901960784313726,2.941176470588235,3.2679738562091507,0.0,5.228758169934641,0.0,1.9607843137254901,0.9803921568627451,0.9803921568627451,16.33986928104575,8.823529411764707,2.6143790849673203,0.0,9.477124183006536,3.9215686274509802,0.0,2.6143790849673203,0.0,0.0,0.0,6.209150326797386,0.0
01011203,578,179,9,12,16,15,13,20,21,13,6,3,13,0,6,207,131,19,3,58,18,10,12,0,0,22,24,12,100.0,30.96885813148789,1.5570934256055362,2.0761245674740483,2.768166089965398,2.5951557093425603,2.249134948096886,3.4602076124567476,3.633217993079585,2.249134948096886,1.0380622837370241,0.5190311418685121,2.249134948096886,0.0,1.0380622837370241,35.813148788927336,22.664359861591695,3.2871972318339098,0.5190311418685121,10.034602076124568,3.1141868512110724,1.7301038062283738,2.0761245674740483,0.0,0.0,3.8062283737024223,4.1522491349480966,2.0761245674740483
01011204,3967,1324,100,56,99,56,88,88,199,247,46,31,131,18,43,805,442,120,39,811,157,24,470,37,156,165,120,126,100.0,33.37534660952861,2.5207965717166623,1.4116460801613309,2.4955886059994956,1.4116460801613309,2.218300983110663,2.218300983110663,5.016385177716158,6.226367532140157,1.1595664229896647,0.7814469372321654,3.3022435089488282,0.45374338290899924,1.083942525838165,20.292412402319133,11.141920846987647,3.024955886059995,0.9831106629694983,20.443660196622133,3.95765061759516,0.604991177211999,11.847743887068313,0.9326947315351651,3.9324426518779934,4.159314343332493,3.024955886059995,3.176203680362995
01011301,2929,1311,128,34,124,109,126,118,165,56,66,18,94,18,22,384,173,67,28,378,104,46,137,3,51,22,172,52,100.0,44.75930351655855,4.370092181631956,1.1608057357459884,4.233526800955958,3.721406623420963,4.301809491293957,4.0286787299419595,5.633321952884943,1.9119153294639808,2.2533287811539777,0.6145442130419939,3.209286445885968,0.6145442130419939,0.7511095937179925,13.110276544895868,5.9064527142369405,2.2874701263229773,0.9559576647319904,12.905428473881871,3.5506998975759645,1.5705018777739843,4.677364288152954,0.10242403550699897,1.7412086036189827,0.7511095937179925,5.872311369067941,1.7753499487879822
01011302,4980,2363,375,59,261,165,196,308,245,121,53,56,166,15,40,476,232,76,24,602,176,31,258,16,94,120,404,78,100.0,47.449799196787154,7.530120481927711,1.1847389558232932,5.240963855421687,3.313253012048193,3.93574297188755,6.184738955823294,4.919678714859438,2.429718875502008,1.0642570281124497,1.1244979919678715,3.3333333333333335,0.30120481927710846,0.8032128514056224,9.558232931726907,4.658634538152611,1.5261044176706828,0.48192771084337355,12.088353413654618,3.5341365461847385,0.6224899598393574,5.1807228915662655,0.321285140562249,1.887550200803213,2.4096385542168677,8.112449799196787,1.566265060240964
01011303,4627,1653,203,65,195,79,163,147,191,102,91,12,122,27,46,574,245,127,34,889,156,42,475,30,129,270,244,76,100.0,35.725091852172035,4.387291981845689,1.4047979252215257,4.214393775664577,1.70736978603847,3.522800950940134,3.177004538577912,4.1279446725740225,2.2044521288091636,1.9667170953101363,0.2593473092716663,2.6366976442619405,0.5835314458612492,0.9941646855413875,12.405446293494705,5.29500756429652,2.7447590231251353,0.7348173762697212,19.213313161875945,3.3715150205316617,0.9077155824508321,10.265830992003458,0.6483682731791658,2.7879835746704127,5.835314458612492,5.273395288523881,1.6425329587205533
01011304,3575,848,61,35,89,26,117,41,166,57,38,6,190,38,19,401,146,75,30,755,239,26,294,18,98,715,50,131,100.0,23.72027972027972,1.7062937062937062,0.9790209790209791,2.4895104895104896,0.7272727272727273,3.272727272727273,1.1468531468531469,4.643356643356643,1.5944055944055944,1.062937062937063,0.16783216783216784,5.314685314685315,1.062937062937063,0.5314685314685315,11.216783216783217,4.083916083916083,2.097902097902098,0.8391608391608392,21.11888111888112,6.685314685314685,0.7272727272727273,8.223776223776223,0.5034965034965035,2.7412587412587412,20.0,1.3986013986013985,3.664335664335664
