id,inhabitants,inhabitants_from_european_union,inhabitants_from_france,inhabitants_from_greece,inhabitants_from_italy,inhabitants_from_austria,inhabitants_from_spain,inhabitants_from_poland,inhabitants_from_bulgaria,inhabitants_from_rumania,inhabitants_from_croatia,inhabitants_from_united_kingdom,inhabitants_from_former_yugoslavia,inhabitants_from_bosnia_herzegovina,inhabitants_from_serbia,inhabitants_from_former_soviet_union,inhabitants_from_russia,inhabitants_from_ukraine,inhabitants_from_kazakhstan,inhabitants_from_islamic_countries,inhabitants_from_turkey,inhabitants_from_iran,inhabitants_from_arabic_countries,inhabitants_from_lebanon,inhabitants_from_syria,inhabitants_from_vietnam,inhabitants_from_united_states,inhabitants_from_undefined,inhabitants_percentage,inhabitants_from_european_union_percentage,inhabitants_from_france_percentage,inhabitants_from_greece_percentage,inhabitants_from_italy_percentage,inhabitants_from_austria_percentage,inhabitants_from_spain_percentage,inhabitants_from_poland_percentage,inhabitants_from_bulgaria_percentage,inhabitants_from_rumania_percentage,inhabitants_from_croatia_percentage,inhabitants_from_united_kingdom_percentage,inhabitants_from_former_yugoslavia_percentage,inhabitants_from_bosnia_herzegovina_percentage,inhabitants_from_serbia_percentage,inhabitants_from_former_soviet_union_percentage,inhabitants_from_russia_percentage,inhabitants_from_ukraine_percentage,inhabitants_from_kazakhstan_percentage,inhabitants_from_islamic_countries_percentage,inhabitants_from_turkey_percentage,inhabitants_from_iran_percentage,inhabitants_from_arabic_countries_percentage,inhabitants_from_lebanon_percentage,inhabitants_from_syria_percentage,inhabitants_from_vietnam_percentage,inhabitants_from_united_states_percentage,inhabitants_from_undefined_percentage
01,207749,62948,5184,3450,6328,2472,3638,3773,12718,8172,4142,2299,12285,2727,3871,16113,7047,3156,1126,75978,36551,1908,27042,6493,6088,2924,5007,11810,100.0,30.300025511554807,2.495318870367607,1.660657813033998,3.045983374167866,1.1898974242956644,1.7511516300920824,1.8161338923412387,6.12181045396127,3.9335929414822695,1.9937520758222662,1.1066238585985975,5.913385864673235,1.31264169743296,1.8633062012332189,7.755994012004871,3.3920740894059658,1.519140886358057,0.542000202167038,36.57201719382524,17.59382716643642,0.9184159731214109,13.016669153642136,3.125406139139057,2.930459352391588,1.407467665307655,2.410119904307602,5.684744571574352
02,129888,41495,4759,1882,5961,2201,3438,3972,5556,2325,1745,1139,5078,1249,1492,7464,3034,1382,666,44248,26919,1058,12177,2807,3030,2966,4836,8162,100.0,31.946754126632175,3.6639258438038924,1.448940625769894,4.589338507021433,1.6945368317319538,2.6468957871396896,3.0580192165558016,4.277531411677753,1.7900036954915002,1.3434651391968466,0.8769093372751909,3.9095220497659526,0.9615976841586598,1.1486819413648681,5.746489283074649,2.335858585858586,1.0639935944813994,0.512749445676275,34.066272480906626,20.724778270509976,0.8145479182064548,9.375,2.161092633653609,2.3327790096082777,2.2835057896033506,3.7232076866223207,6.283875338753388
03,92845,38702,3716,1313,4763,2261,2623,3292,7466,2031,1910,804,3345,668,921,11625,5008,1896,1243,17479,3108,970,7668,491,2974,2480,4351,1737,100.0,41.68452797673542,4.002369540632237,1.414184931875707,5.130055468792072,2.4352415315848996,2.8251386719801816,3.5456944369648338,8.041359254671764,2.1875168291238087,2.0571920943507997,0.8659593946900749,3.6027788249232593,0.7194787010609079,0.9919758737681081,12.520868113522537,5.393936130109322,2.0421131994183854,1.3387904572136355,18.826000323119178,3.3475146749959612,1.0447520060315578,8.258926167268028,0.5288383865582422,3.203188109214282,2.671118530884808,4.686305132209596,1.8708600355431093
04,147081,50724,4271,2824,5220,2462,2502,3212,12623,2752,3071,2420,9312,1499,3221,19057,7103,4525,1020,36794,12551,4360,13492,2000,3227,1688,4908,7378,100.0,34.48711934240317,2.903842100611228,1.9200304594067212,3.549064801028005,1.6739075747377294,1.7011034735961816,2.1838306783337074,8.582345782256036,1.8710778414615077,2.0879651348576633,1.6453518809363548,6.33120525424766,1.0191663097204942,2.1899497555768592,12.956806113638065,4.82931173978964,3.076536058362399,0.6934954208905297,25.016147564947204,8.533393164310823,2.9643529755712836,9.173176684955909,1.3597949429226073,2.1940291404056267,1.1476669318266806,3.336936789932078,5.016283544441498
05,92585,28257,555,853,1643,645,533,989,12383,3436,2680,1731,8043,1727,2708,12203,5193,1454,2750,36416,13645,1894,12707,1905,4418,932,635,5730,100.0,30.520062645136903,0.599449154830696,0.9213155478749258,1.7745855160123132,0.6966571258843225,0.5756872063509209,1.0682075930226278,13.37473672841173,3.7111843171140033,2.8946373602635416,1.8696333099314142,8.687152346492413,1.8653129556623644,2.924879840146892,13.180320786304478,5.608899929794243,1.5704487767996975,2.9702435599719177,39.33250526543176,14.737808500297026,2.0456877463952043,13.724685424204786,2.0575687206350923,4.771831290165793,1.0066425446886644,0.6858562402116973,6.188907490414214
06,88984,30427,1698,2000,2528,1839,1196,1783,9622,1341,1665,1806,6252,1290,1810,8849,3579,1739,763,22605,7350,2683,7990,1034,2538,685,4816,4602,100.0,34.193787647217476,1.9082082172075878,2.2475950732715995,2.8409601726153015,2.0666636698732357,1.3440618538164164,2.0037310078216306,10.813179897509665,1.5070124966286074,1.8711228984986066,2.029578351164254,7.025982199047019,1.4496988222601817,2.0340735413107973,9.944484401690191,4.022071383619527,1.9542839162096557,0.8574575204531152,25.403443315652254,8.259911894273127,3.015148790793851,8.97914231772004,1.162006652881417,2.8521981479816594,0.7698013125955228,5.412208936438011,5.171716263597951
07,133166,41551,2665,2491,3951,1574,1563,2157,13258,2710,2382,2949,10586,1802,3585,12066,4724,2380,1467,46281,22351,1745,15993,3605,4795,900,2944,9900,100.0,31.20240902332427,2.0012615832870253,1.870597599987985,2.9669735518075186,1.1819833891533875,1.1737230223931032,1.6197828274484478,9.955994773440668,2.035053992760915,1.7887448748178962,2.214529234188907,7.949476593124372,1.3531982638210955,2.692128621419882,9.060871393598967,3.547452052325669,1.7872429899523903,1.1016325488488052,34.75436673024646,16.784314314464655,1.3103945451541685,12.00982232702041,2.707147470074944,3.600768965051139,0.6758481894777947,2.2107745220251416,7.434330084255741
08,154919,43179,2961,2024,4316,1587,1842,2775,12819,3924,3214,1951,12856,2122,4766,5955,2203,987,930,66543,36804,974,23443,8546,4223,953,2691,14425,100.0,27.871984714592784,1.9113214002155967,1.3064891975806712,2.7859720240900083,1.0244063026484809,1.1890084495768756,1.791258657750179,8.27464675088272,2.532936566851064,2.0746325499131806,1.259367798656072,8.298530199652722,1.3697480618904072,3.0764464010224697,3.843944254739574,1.4220334497382503,0.6371071334051989,0.6003137123270871,42.95341436492618,23.756931041382916,0.6287156514049277,15.132424040950433,5.516431167255146,2.7259406528573,0.6151601804814129,1.7370367740561197,9.311317527223904
09,45751,17060,712,548,1195,638,623,801,5433,1587,1679,476,3007,656,1013,6560,2522,1012,1033,12711,2730,491,5740,502,2356,1344,796,1355,100.0,37.28880243054797,1.556250136609036,1.1977880264912244,2.611964765797469,1.3945050381412427,1.3617188695329063,1.7507814036851654,11.875150269939455,3.4687766387619945,3.6698651395597905,1.0404144171712093,6.57253393368451,1.4338484404712466,2.2141592533496537,14.338484404712466,5.512447815348298,2.211973508775764,2.2578741448274355,27.78299927870429,5.96708268671723,1.0732005857795457,12.546173854123408,1.097243776092326,5.149614216082708,2.937640707306944,1.7398526808157198,2.961683897619724
10,55217,14257,186,405,432,201,226,219,5316,1440,2632,250,2565,418,1007,19999,8621,1742,5579,17301,1239,374,5657,213,2746,4953,181,933,100.0,25.81994675552819,0.3368527808464784,0.7334697647463644,0.7823677490627887,0.3640183276889364,0.4092942390930329,0.3966169838998859,9.627469800967093,2.6078924968759623,4.766647952623286,0.45275911404096564,4.645308510060307,0.7570132386764946,1.8237137113570094,36.21891808682109,15.612945288588659,3.1548255066374487,10.10377238893819,31.332741728090983,2.2438741691870256,0.6773276346052846,10.24503323251897,0.38575076516290274,4.9731061086259665,8.970063567379611,0.32779759856565915,1.6896970136008838
11,79972,20089,722,595,1267,523,763,606,6251,2438,2235,645,6036,1258,2151,17636,7411,1882,3949,23897,2165,690,10677,332,5083,9260,664,1631,100.0,25.120042014705145,0.9028159855949582,0.7440104036412745,1.5843045065773018,0.6539788926124143,0.9540839293752814,0.7577652178262392,7.816485770019507,3.0485669984494574,2.794728154854199,0.8065322863002051,7.547641674586106,1.5730505676986946,2.6896913919871954,22.052718451458013,9.266993447706698,2.353323663282149,4.937978292402341,29.881708598009304,2.707197519131696,0.8628019806932427,13.350922822988046,0.4151453008552994,6.355974591106888,11.579052668433953,0.8302906017105988,2.0394638123343167
