id,inhabitants,inhabitants_with_migration_background_age_below_6,inhabitants_with_migration_background_age_6_15,inhabitants_with_migration_background_age_15_18,inhabitants_with_migration_background_age_18_27,inhabitants_with_migration_background_age_27_45,inhabitants_with_migration_background_age_45_55,inhabitants_with_migration_background_age_55_65,inhabitants_with_migration_background_age_above_65,inhabitants_with_migration_background_female,inhabitants_foreigners,inhabitants_percentage,inhabitants_with_migration_background_age_below_6_percentage,inhabitants_with_migration_background_age_6_15_percentage,inhabitants_with_migration_background_age_15_18_percentage,inhabitants_with_migration_background_age_18_27_percentage,inhabitants_with_migration_background_age_27_45_percentage,inhabitants_with_migration_background_age_45_55_percentage,inhabitants_with_migration_background_age_55_65_percentage,inhabitants_with_migration_background_age_above_65_percentage,inhabitants_with_migration_background_female_percentage,inhabitants_foreigners_percentage
01100101,2103,128,154,25,306,870,240,193,187,1025,1418,100.0,6.086543033761293,7.322872087494056,1.1887779362815025,14.550641940085592,41.36947218259629,11.412268188302425,9.1773656680932,8.892058963385638,48.73989538754161,67.42748454588683
01100102,1214,64,92,21,130,553,140,126,88,571,903,100.0,5.2718286655683695,7.57825370675453,1.729818780889621,10.70840197693575,45.551894563426686,11.532125205930807,10.378912685337728,7.248764415156507,47.034596375617795,74.38220757825371
01100103,3182,217,250,100,393,1132,370,322,398,1497,1940,100.0,6.819610307982401,7.856693903205531,3.142677561282212,12.350722815839095,35.57510999371464,11.627906976744185,10.119421747328724,12.507856693903205,47.04588309239472,60.96794468887492
01100104,3075,189,313,97,540,1135,353,245,203,1421,1835,100.0,6.146341463414634,10.178861788617887,3.1544715447154474,17.560975609756095,36.91056910569105,11.479674796747966,7.967479674796748,6.601626016260162,46.21138211382114,59.674796747967484
01100205,1811,100,143,27,257,817,191,128,148,854,1344,100.0,5.521811154058531,7.8961899503037,1.4908890115958033,14.191054665930425,45.1131971286582,10.546659304251795,7.067918277194921,8.172280508006628,47.156267255659856,74.21314191054665
01100206,971,82,81,25,73,435,137,79,59,487,663,100.0,8.444902162718847,8.341915550978372,2.5746652935118437,7.518022657054583,44.79917610710608,14.109165808444901,8.135942327497425,6.07621009268795,50.15447991761071,68.2801235839341
01100207,4506,374,386,128,450,1954,507,343,364,2246,2952,100.0,8.300044385264092,8.566355969818021,2.840656901908566,9.986684420772303,43.364403018197955,11.251664447403462,7.6120727918331115,8.078118064802485,49.84465157567687,65.5126498002663
01100308,3246,246,232,54,337,1691,367,176,143,1611,2306,100.0,7.578558225508318,7.147258163894023,1.6635859519408502,10.382008626001232,52.09488601355514,11.306223043746149,5.422057917436845,4.405422057917437,49.63031423290204,71.04128157732595
01100309,5125,398,460,159,499,2369,714,340,186,2538,3330,100.0,7.765853658536585,8.97560975609756,3.102439024390244,9.736585365853658,46.22439024390244,13.931707317073172,6.634146341463415,3.6292682926829265,49.5219512195122,64.97560975609757
01100310,5070,373,379,95,643,2495,536,339,210,2381,3634,100.0,7.3570019723865885,7.4753451676528595,1.8737672583826428,12.682445759368836,49.21104536489152,10.571992110453648,6.686390532544379,4.142011834319527,46.96252465483235,71.67652859960553
01100311,4434,398,492,124,689,1672,468,288,303,2219,2909,100.0,8.976093820478123,11.096075778078484,2.796571944068561,15.539016689219668,37.708615245827694,10.554803788903925,6.495263870094722,6.833558863328823,50.045105999097885,65.60667568786648
01100312,4652,429,375,88,457,2279,490,290,244,2188,3093,100.0,9.221840068787618,8.061049011177989,1.8916595012897677,9.823731728288907,48.989681857265694,10.533104041272571,6.233877901977644,5.2450558899398105,47.0335339638865,66.48753224419605
01100313,5305,401,364,101,1153,2222,527,299,238,2621,3639,100.0,7.558906691800188,6.861451460885956,1.903864278982092,21.73421300659755,41.88501413760603,9.934024505183789,5.636192271442035,4.486333647502357,49.4062205466541,68.5956644674835
01100414,2998,351,299,56,251,1649,249,86,57,1519,2241,100.0,11.707805203468979,9.973315543695797,1.8679119412941962,8.372248165443628,55.00333555703803,8.305537024683122,2.868579052701801,1.9012675116744495,50.66711140760507,74.7498332221481
01100415,5308,389,513,131,568,2609,709,264,125,2682,3544,100.0,7.328560663149962,9.6646571213263,2.467972871137905,10.7008289374529,49.15222305953278,13.357196684250189,4.973624717407687,2.354935945742276,50.52750565184627,66.767143933685
01100416,5438,501,531,115,475,2758,675,238,145,2768,3573,100.0,9.212945936005884,9.764619345347555,2.1147480691430673,8.734828981243103,50.71717543214417,12.41265171018757,4.376609047443914,2.666421478484737,50.90106656859139,65.70430305259286
01200517,2190,179,238,89,257,862,226,196,143,1002,1528,100.0,8.17351598173516,10.867579908675799,4.06392694063927,11.735159817351597,39.36073059360731,10.319634703196346,8.949771689497716,6.529680365296804,45.75342465753425,69.77168949771689
01200518,4397,274,385,114,703,1684,540,375,322,1990,3037,100.0,6.231521491926313,8.755969979531498,2.592676825108028,15.988173754832841,38.29884011826245,12.281100750511714,8.528542187855356,7.323174891971799,45.25813054355242,69.06982033204457
01200519,4968,307,446,151,644,1887,651,429,453,2289,3369,100.0,6.1795491143317225,8.977455716586151,3.0394524959742353,12.962962962962962,37.98309178743962,13.103864734299517,8.63526570048309,9.118357487922706,46.07487922705314,67.81400966183575
